Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Gradient Boosting,0.7960199004975125,0.6407766990291263,0.5294117647058824,0.5797950219619327,0.8385238985147876
Logistic Regression,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8351344145860403
Random Forest,0.7839374555792467,0.6223776223776224,0.47593582887700536,0.5393939393939394,0.8116176858845271
